id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
809731,Vaugirard,48.83883,2.28954,363,22,0.24,6,1350.0016496564008,350.0,mars_2025
812405,Popincourt,48.86673,2.36685,69,71,0.48,3,1699.0476337591745,280.0,mars_2025
792159,Popincourt,48.8532,2.37784,214,117,0.8,3,1248.450506100164,135.0,mars_2025
793331,Popincourt,48.86697,2.37773,364,119,1.09,5,2131.989509518938,90.0,mars_2025
795097,Buttes-Montmartre,48.88696,2.34716,94,136,0.93,3,3227.2375084178466,144.0,mars_2025
796422,Popincourt,48.86269,2.38276,204,165,2.15,2,2060.465527045409,120.0,mars_2025
798705,Observatoire,48.83597,2.32064,107,75,0.51,7,2664.202614208103,90.0,mars_2025
803591,Buttes-Chaumont,48.87778472900391,2.3747670650482178,6,54,0.49,2,3051.091563486493,90.0,mars_2025
808478,Buttes-Montmartre,48.88642,2.34708,109,55,0.38,7,3171.794107129795,150.0,mars_2025
543233,Bourse,48.86557,2.35195,37,75,0.49,5,1053.1650903694162,150.0,mars_2025
547346,Buttes-Montmartre,48.888103,2.348509,7,60,0.47,5,3386.27935292032,250.0,mars_2025
547904,Buttes-Montmartre,48.88532,2.33619,45,99,0.66,3,2717.7197221108277,105.0,mars_2025
551560,Panthéon,48.84715,2.35365,203,141,0.94,3,412.462020875961,129.0,mars_2025
556395,Opéra,48.87907488210467,2.3322474638168957,10,29,0.19,3,1965.9775496771565,80.0,mars_2025
557051,Hôtel-de-Ville,48.86156,2.35201,280,72,0.48,4,653.7885197811354,145.0,mars_2025
698787,Ménilmontant,48.87165069580078,2.381072998046875,133,119,1.15,3,2695.981659856433,64.0,mars_2025
699404,Buttes-Montmartre,48.89176,2.3591,274,8,0.05,2,3983.371966753093,80.0,mars_2025
708894,Batignolles-Monceau,48.8783,2.29178,363,46,0.31,5,1756.7982151447163,345.0,mars_2025
708918,Buttes-Chaumont,48.88473,2.39485,253,62,0.43,4,4466.8716150458595,90.0,mars_2025
713532,Batignolles-Monceau,48.89527,2.32291,365,15,0.1,2,3161.31256163458,105.0,mars_2025
715817,Buttes-Montmartre,48.88555388349923,2.340967529361904,158,168,1.13,3,2887.531061222761,130.0,mars_2025
716530,Ménilmontant,48.87357,2.40377,358,0,,2,4019.545460969955,290.0,mars_2025
718556,Popincourt,48.85454,2.37574,363,121,0.81,1,1177.6158549350082,360.0,mars_2025
718659,Buttes-Chaumont,48.89163,2.38282,79,47,0.32,4,4665.503916641049,85.0,mars_2025
722747,Panthéon,48.84742,2.35293,122,218,1.5,4,407.9532792767041,100.0,mars_2025
724370,Opéra,48.88168,2.34185,164,14,0.09,4,2526.0903268054376,450.0,mars_2025
726278,Opéra,48.8819,2.33199,364,8,0.05,7,2247.6095510911277,130.0,mars_2025
727384,Entrepôt,48.88172,2.35131,92,10,0.07,5,2748.845936237916,80.0,mars_2025
729422,Bourse,48.8688,2.34998,193,646,4.36,3,1348.2385196813577,160.0,mars_2025
729482,Hôtel-de-Ville,48.858437,2.350457,253,171,1.19,3,290.165274041557,270.0,mars_2025
729645,Vaugirard,48.84348,2.31435,7,100,0.77,4,2147.404391172331,145.0,mars_2025
731108,Hôtel-de-Ville,48.85557,2.362,22,61,0.41,3,437.8066125923178,320.0,mars_2025
